Reporte,Periodo,Institucion,Solicitudes Recibidas,Solicitudes  en Trámite,Adopciones Improcedentes,Adopciones Concedidas,Femenino,Masculino ,0-4y F,5-8y F,Total F,0-4y M,5-8y M,Total M,Origen,Receptor,Solicitudes de adopción con resolución sobre la no emisión del Certificado de Idoneidad,9-18y F,9-13y M,14-18 M,Year,Semestre
Nacional,Enero-Junio 2014,DIF Nacional,7,39,12.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,Distrito Federal,Distrito Federal,,1.0,0.0,0.0,2014,1
Internacional,Enero-Junio 2014,DIF Nacional,0,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"México, Distrito Federal",España,,1.0,0.0,0.0,2014,1
Nacional,Julio-Diciembre 2014,DIF Nacional,32,50,7.0,10.0,2.0,8.0,0.0,2.0,2.0,1.0,5.0,8.0,Distrito Federal,Distrito Federal,,1.0,0.0,0.0,2014,2
Internacional,Julio-Diciembre 2014,DIF Nacional,2,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"México, Distrito Federal",Francia,,1.0,0.0,0.0,2014,2
Nacional,Enero-Junio 2015,DIF Nacional,25,49,5.0,3.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,Distrito Federal,Distrito Federal,,1.0,0.0,0.0,2015,1
Internacional,Enero-Junio 2015,DIF Nacional,3,5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"México, Distrito Federal",Italia,,1.0,0.0,0.0,2015,1
Nacional,Julio-Diciembre 2015,DIF Nacional,44,79,5.0,4.0,3.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,Distrito Federal,Distrito Federal,,1.0,0.0,0.0,2015,2
Internacional,Julio-Diciembre 2015,DIF Nacional,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,2015,2
Nacional,Enero - Junio 2016,DIF Nacional,6,86,0.0,5.0,5.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,México,México,,1.0,0.0,0.0,2016,1
Internacional,Enero - Junio 2016,DIF Nacional,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,2016,1
Nacional,Julio - Diciembre 2016,DIF Nacional,15,41,32.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,México,México,,1.0,0.0,0.0,2016,2
Internacional,Julio - Diciembre 2016,DIF Nacional,1,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,2016,2
Nacional,Enero - Junio 2017,DIF Nacional,43,46,21.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,México ,México,,1.0,0.0,0.0,2017,1
Internacional,Enero - Junio 2017,DIF Nacional,3,8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,2017,1
Nacional,Julio - Diciembre 2017,DIF Nacional,54,56,35.0,1.0,1.0,0.0,,,1.0,,,0.0,México,México,,1.0,,,2017,2
Internacional,Julio - Diciembre 2017,DIF Nacional,2,4,0.0,0.0,,,,,,,,,,,,,,,2017,2
Nacional,Enero - Junio 2018,DIF Nacional,13,32,0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,No aplica,No aplica,23,0.0,0.0,0.0,2018,1
Internacional,Enero - Junio 2018,DIF Nacional,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,No aplica,0.0,0.0,0.0,2018,1
Nacional,Julio - Diciembre 2018,DIF Nacional,15,13,0,0.0,3.0,6.0,0.0,2.0,3.0,3.0,1.0,6.0,Ciudad de México,"Ciudad de México 
",29,1.0,2.0,0.0,2018,2
Internacional,Julio - Diciembre 2018,DIF Nacional,4,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Ciudad de México,España ,no aplica,0.0,0.0,0.0,2018,2
Nacional,Enero - Junio 2019,DIF Nacional,8,8,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Ciudad de México,"Ciudad de México 
",11,0.0,0.0,0.0,2019,1
Internacional,Enero - Junio 2019,DIF Nacional,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,No aplica,no aplica,0.0,0.0,0.0,2019,1
Nacional,Julio - Diciembre 2019,DIF Nacional,21,27,0,0.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,Ciudad de México,"Ciudad de México 
",4,0.0,1.0,0.0,2019,2
Internacional,Julio - Diciembre 2019,DIF Nacional,3,4,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,Ciudad de México,España,no aplica,0.0,0.0,0.0,2019,2
Nacional,Enero - Junio 2020,DIF Nacional,8,34,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Ciudad de México,"Ciudad de México 
",1,0.0,1.0,0.0,2020,1
Internacional,Enero - Junio 2020,DIF Nacional,0,2,0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,4.0,México,España e Italia,no aplica,1.0,1.0,0.0,2020,1
Nacional,Julio - Diciembre 2020,DIF Nacional,21,28,0,0.0,5.0,4.0,2.0,1.0,5.0,2.0,2.0,4.0,Ciudad de México,Ciudad de México,16,2.0,0.0,0.0,2020,2
Internacional,Julio - Diciembre 2020,DIF Nacional,4,3,0,0.0,5.0,1.0,0.0,5.0,5.0,0.0,1.0,1.0,México,"España, Suiza, Austria y E.U.A.",no aplica,0.0,0.0,0.0,2020,2
Nacional,Enero - Junio 2021,DIF Nacional,25,38,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,Ciudad de México,Ciudad de México,7,0.0,0.0,0.0,2021,1
Internacional,Enero - Junio 2021,DIF Nacional,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,no aplica,0.0,0.0,0.0,2021,1
Nacional,Julio-Diciembre 2021,DIF Nacional,54,45,0,0.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,4.0,Ciudad de México,Ciudad de México,0,0.0,0.0,0.0,2021,2
Internacional,Julio-Diciembre 2021,DIF Nacional,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,no aplica,0.0,0.0,0.0,2021,2
Nacional,Enero-Junio 2022,DIF Nacional,53,47,0,0.0,3.0,9.0,1.0,2.0,3.0,6.0,2.0,9.0,Ciudad de México,Ciudad de México y Mérida,0,0.0,1.0,0.0,2022,1
Internacional,Enero-Junio 2022,DIF Nacional,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no aplica,no aplica,no aplica,0.0,0.0,0.0,2022,1
Nacional,Julio-Diciembre 2022,DIF Nacional,59,58,0,0.0,5.0,7.0,2.0,3.0,5.0,3.0,3.0,7.0,Ciudad de México,Ciudad de México,0,0.0,1.0,0.0,2022,2
Internacional,Julio-Diciembre 2022,DIF Nacional,1,1,0,0.0,3.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,México,Italia,no aplica,0.0,0.0,0.0,2022,2
Nacional,Enero - Junio 2023,DIF Nacional,64,64,0,0.0,4.0,2.0,1.0,2.0,4.0,0.0,2.0,2.0,Ciudad de México,Ciudad de México,0,1.0,0.0,0.0,2023,1
Internacional,Enero - Junio 2023,DIF Nacional,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,no aplica,0.0,0.0,0.0,2023,1
Nacional,Julio - Diciembre 2023,DIF Nacional,52,51,0,0.0,6.0,12.0,2.0,3.0,6.0,5.0,5.0,12.0,Ciudad de México y Guanajuato,Ciudad de México,0,1.0,1.0,1.0,2023,2
Internacional,Julio - Diciembre 2023,DIF Nacional,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,no aplica,0.0,0.0,0.0,2023,2
